,+,-,*,/,%,=,<,>,!,&,|,^,~,?,coma,.,;,:,{,},[,],(,),comillas,',[0-1],[2-7],[8-9],[aA],b,B,[cC],d,D,[eE],[fF],[G-Kg-k],[lL],[M-Nm-n],O,[P-W],X,[Y-Z],o,[p-w],x,[y-z],_,@,#,$,¿,¡,\n,oc,\t,espacio,\r,EOF
78,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63
79,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,508,508,508,508,508,508,508,508,508,508,508
80,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64
81,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,508,508,508,508,508,508,508,508,508,508,508
82,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65
83,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,508,508,508,508,508,508,508,508,508,508,508
84,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
85,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,508,508,508,508,508,508,508,508,508,508,508
86,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67
87,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,508,508,508,508,508,508,508,508,508,508,508
88,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68
89,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,508,508,508,508,508,508,508,508,508,508,508
90,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69
91,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,92,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70
92,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,510,510,510,510,510,510,510,510,510,510,510,510
93,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70
